ID операции,Дата,Артикул,ID производственной базы,"Количество, кг",Тип операции
206,6.8.2021,55,П3,7,Поступило с производства
207,6.8.2021,55,П6,46,Выдано покупателю
208,6.8.2021,57,П3,17,Поступило с производства
209,6.8.2021,57,П5,49,Выдано покупателю
210,6.8.2021,60,П2,38,Поступило с производства
211,6.8.2021,61,П15,7,Выдано покупателю
212,6.8.2021,62,П1,12,Выдано покупателю
213,6.8.2021,62,П4,17,Поступило с производства
214,7.8.2021,1,П8,34,Выдано покупателю
215,7.8.2021,2,П11,47,Поступило с производства
216,7.8.2021,2,П7,25,Выдано покупателю
217,7.8.2021,5,П9,48,Выдано покупателю
218,7.8.2021,6,П15,30,Поступило с производства
219,7.8.2021,7,П14,38,Поступило с производства
220,7.8.2021,9,П10,30,Поступило с производства
221,7.8.2021,10,П2,18,Выдано покупателю
222,7.8.2021,12,П12,14,Поступило с производства
223,7.8.2021,16,П1,37,Поступило с производства
224,7.8.2021,16,П11,20,Выдано покупателю
225,7.8.2021,19,П4,25,Поступило с производства
226,7.8.2021,21,П9,7,Поступило с производства
227,7.8.2021,22,П4,37,Поступило с производства
228,7.8.2021,24,П11,32,Выдано покупателю
229,7.8.2021,25,П6,36,Выдано покупателю
230,7.8.2021,26,П13,43,Поступило с производства
231,7.8.2021,28,П11,31,Выдано покупателю
232,7.8.2021,28,П14,13,Поступило с производства
233,7.8.2021,28,П5,16,Поступило с производства
234,7.8.2021,31,П10,27,Выдано покупателю
235,7.8.2021,31,П10,44,Выдано покупателю
236,7.8.2021,33,П13,49,Выдано покупателю
237,7.8.2021,35,П15,38,Выдано покупателю
238,7.8.2021,39,П2,9,Выдано покупателю
239,7.8.2021,46,П14,34,Выдано покупателю
240,7.8.2021,48,П12,29,Выдано покупателю
241,7.8.2021,49,П13,30,Выдано покупателю
242,7.8.2021,51,П13,44,Поступило с производства
243,7.8.2021,52,П15,7,Поступило с производства
244,7.8.2021,53,П12,48,Выдано покупателю
245,7.8.2021,55,П11,15,Выдано покупателю
246,7.8.2021,58,П5,41,Выдано покупателю
247,7.8.2021,59,П14,30,Выдано покупателю
248,7.8.2021,60,П11,21,Поступило с производства
249,7.8.2021,60,П14,47,Выдано покупателю
250,7.8.2021,60,П6,13,Поступило с производства
251,7.8.2021,62,П10,5,Поступило с производства
252,7.8.2021,62,П3,7,Поступило с производства
253,7.8.2021,64,П3,5,Поступило с производства
254,8.8.2021,1,П7,26,Выдано покупателю
255,8.8.2021,2,П16,22,Поступило с производства
256,8.8.2021,3,П8,16,Поступило с производства
257,8.8.2021,10,П11,48,Выдано покупателю
258,8.8.2021,10,П14,42,Поступило с производства
259,8.8.2021,12,П5,24,Поступило с производства
260,8.8.2021,14,П1,33,Выдано покупателю
261,8.8.2021,16,П1,27,Поступило с производства
262,8.8.2021,16,П7,12,Выдано покупателю
263,8.8.2021,19,П7,18,Выдано покупателю
264,8.8.2021,21,П16,26,Выдано покупателю
265,8.8.2021,21,П3,6,Выдано покупателю
266,8.8.2021,22,П2,23,Поступило с производства
267,8.8.2021,22,П9,44,Выдано покупателю
268,8.8.2021,24,П7,36,Поступило с производства
269,8.8.2021,24,П7,43,Поступило с производства
270,8.8.2021,25,П4,16,Поступило с производства
271,8.8.2021,25,П9,15,Выдано покупателю
272,8.8.2021,27,П10,41,Выдано покупателю
273,8.8.2021,28,П3,41,Выдано покупателю
274,8.8.2021,29,П8,42,Выдано покупателю
275,8.8.2021,34,П12,43,Поступило с производства
276,8.8.2021,35,П10,15,Поступило с производства
277,8.8.2021,35,П12,36,Поступило с производства
278,8.8.2021,39,П14,6,Поступило с производства
279,8.8.2021,42,П1,19,Поступило с производства
280,8.8.2021,42,П9,49,Выдано покупателю
281,8.8.2021,45,П13,33,Поступило с производства
282,8.8.2021,45,П7,37,Выдано покупателю
283,8.8.2021,46,П7,44,Поступило с производства
284,8.8.2021,48,П1,44,Выдано покупателю
285,8.8.2021,49,П14,45,Выдано покупателю
286,8.8.2021,52,П13,43,Поступило с производства
287,8.8.2021,52,П16,12,Поступило с производства
288,8.8.2021,52,П16,50,Поступило с производства
289,8.8.2021,53,П13,15,Выдано покупателю
290,8.8.2021,57,П8,44,Поступило с производства
291,8.8.2021,59,П16,48,Выдано покупателю
292,8.8.2021,60,П1,37,Выдано покупателю
293,8.8.2021,61,П12,25,Поступило с производства
294,8.8.2021,61,П2,31,Выдано покупателю
295,8.8.2021,61,П4,22,Поступило с производства
296,8.8.2021,62,П12,19,Поступило с производства
297,8.8.2021,63,П11,38,Выдано покупателю
298,8.8.2021,64,П1,41,Поступило с производства
299,9.8.2021,2,П1,18,Выдано покупателю
300,9.8.2021,2,П1,31,Выдано покупателю
301,9.8.2021,2,П10,40,Поступило с производства
302,9.8.2021,2,П4,44,Поступило с производства
303,9.8.2021,4,П8,40,Выдано покупателю
304,9.8.2021,7,П11,22,Выдано покупателю
305,9.8.2021,7,П9,10,Выдано покупателю
306,9.8.2021,9,П5,30,Поступило с производства
307,9.8.2021,10,П16,33,Выдано покупателю
308,9.8.2021,11,П10,15,Поступило с производства
309,9.8.2021,17,П12,32,Поступило с производства
310,9.8.2021,23,П11,27,Поступило с производства
311,9.8.2021,23,П5,20,Поступило с производства
312,9.8.2021,25,П12,44,Выдано покупателю
313,9.8.2021,25,П6,36,Поступило с производства
314,9.8.2021,26,П7,15,Поступило с производства
315,9.8.2021,27,П2,43,Выдано покупателю
316,9.8.2021,27,П8,49,Поступило с производства
317,9.8.2021,28,П9,21,Поступило с производства
318,9.8.2021,29,П6,34,Поступило с производства
319,9.8.2021,29,П7,41,Поступило с производства
320,9.8.2021,32,П3,11,Поступило с производства
321,9.8.2021,38,П15,20,Выдано покупателю
322,9.8.2021,39,П14,10,Поступило с производства
323,9.8.2021,40,П4,13,Поступило с производства
324,9.8.2021,42,П16,23,Поступило с производства
325,9.8.2021,43,П13,25,Выдано покупателю
326,9.8.2021,43,П15,12,Поступило с производства
327,9.8.2021,46,П3,41,Поступило с производства
328,9.8.2021,47,П1,22,Выдано покупателю
329,9.8.2021,51,П1,8,Выдано покупателю
330,9.8.2021,53,П10,48,Выдано покупателю
331,9.8.2021,54,П9,35,Выдано покупателю
332,9.8.2021,55,П16,23,Поступило с производства
333,9.8.2021,56,П13,27,Поступило с производства
334,9.8.2021,56,П3,35,Выдано покупателю
335,9.8.2021,57,П6,30,Выдано покупателю
336,9.8.2021,59,П1,20,Поступило с производства
337,9.8.2021,61,П9,47,Выдано покупателю
338,9.8.2021,63,П13,46,Выдано покупателю
339,9.8.2021,63,П3,43,Поступило с производства
340,10.8.2021,1,П9,14,Поступило с производства
341,10.8.2021,4,П1,48,Поступило с производства
342,10.8.2021,5,П6,44,Выдано покупателю
343,10.8.2021,7,П8,23,Выдано покупателю
344,10.8.2021,8,П4,32,Поступило с производства
345,10.8.2021,9,П3,37,Поступило с производства
346,10.8.2021,13,П2,40,Поступило с производства
347,10.8.2021,14,П1,25,Поступило с производства
348,10.8.2021,14,П7,33,Поступило с производства
349,10.8.2021,15,П12,18,Выдано покупателю
350,10.8.2021,15,П15,17,Выдано покупателю
351,10.8.2021,18,П1,41,Поступило с производства
352,10.8.2021,21,П14,27,Поступило с производства
353,10.8.2021,21,П2,31,Поступило с производства
354,10.8.2021,25,П4,41,Выдано покупателю
355,10.8.2021,25,П6,47,Поступило с производства
356,10.8.2021,27,П14,40,Выдано покупателю
357,10.8.2021,27,П5,24,Выдано покупателю
358,10.8.2021,28,П1,21,Поступило с производства
359,10.8.2021,28,П3,34,Выдано покупателю
360,10.8.2021,29,П3,31,Выдано покупателю
361,10.8.2021,37,П11,39,Поступило с производства
362,10.8.2021,37,П7,32,Выдано покупателю
363,10.8.2021,40,П4,27,Выдано покупателю
364,10.8.2021,42,П6,50,Выдано покупателю
365,10.8.2021,43,П9,48,Выдано покупателю
366,10.8.2021,44,П3,16,Выдано покупателю
367,10.8.2021,44,П6,36,Поступило с производства
368,10.8.2021,46,П12,11,Выдано покупателю
369,10.8.2021,46,П14,19,Выдано покупателю
370,10.8.2021,47,П5,40,Поступило с производства
371,10.8.2021,47,П8,32,Поступило с производства
372,10.8.2021,48,П12,44,Поступило с производства
373,10.8.2021,48,П3,5,Поступило с производства
374,10.8.2021,55,П16,40,Поступило с производства
375,10.8.2021,57,П8,34,Выдано покупателю
376,10.8.2021,59,П9,27,Поступило с производства
377,10.8.2021,62,П15,31,Поступило с производства
378,10.8.2021,62,П4,19,Поступило с производства
379,10.8.2021,64,П9,38,Поступило с производства
380,11.8.2021,1,П3,43,Выдано покупателю
381,11.8.2021,5,П1,47,Поступило с производства
382,11.8.2021,5,П10,19,Поступило с производства
383,11.8.2021,6,П1,18,Выдано покупателю
384,11.8.2021,6,П2,12,Поступило с производства
385,11.8.2021,6,П3,35,Поступило с производства
386,11.8.2021,7,П14,35,Выдано покупателю
387,11.8.2021,8,П1,32,Поступило с производства
388,11.8.2021,10,П16,24,Поступило с производства
389,11.8.2021,18,П10,50,Выдано покупателю
390,11.8.2021,18,П4,38,Выдано покупателю
391,11.8.2021,19,П14,46,Выдано покупателю
392,11.8.2021,19,П8,35,Поступило с производства
393,11.8.2021,27,П2,10,Поступило с производства
394,11.8.2021,31,П8,18,Поступило с производства
395,11.8.2021,33,П5,27,Выдано покупателю
396,11.8.2021,34,П1,17,Выдано покупателю
397,11.8.2021,40,П4,14,Выдано покупателю
398,11.8.2021,42,П6,15,Поступило с производства
399,11.8.2021,45,П8,15,Выдано покупателю
400,11.8.2021,46,П9,50,Поступило с производства
401,11.8.2021,49,П8,27,Поступило с производства
402,11.8.2021,51,П14,37,Поступило с производства
403,11.8.2021,53,П2,7,Выдано покупателю
404,11.8.2021,55,П8,17,Поступило с производства
405,11.8.2021,61,П14,47,Выдано покупателю
406,11.8.2021,64,П11,46,Выдано покупателю
407,12.8.2021,2,П12,31,Поступило с производства
408,12.8.2021,2,П3,40,Поступило с производства
409,12.8.2021,4,П10,7,Поступило с производства
410,12.8.2021,8,П16,47,Выдано покупателю
411,12.8.2021,8,П5,18,Поступило с производства
412,12.8.2021,11,П6,17,Выдано покупателю
413,12.8.2021,12,П1,21,Выдано покупателю
414,12.8.2021,12,П10,30,Выдано покупателю
415,12.8.2021,14,П7,14,Поступило с производства
416,12.8.2021,15,П5,28,Выдано покупателю
417,12.8.2021,16,П2,13,Поступило с производства
418,12.8.2021,16,П8,26,Выдано покупателю
419,12.8.2021,18,П9,11,Поступило с производства
420,12.8.2021,23,П13,33,Поступило с производства
421,12.8.2021,23,П13,45,Поступило с производства
422,12.8.2021,23,П6,27,Поступило с производства
423,12.8.2021,28,П3,37,Выдано покупателю
424,12.8.2021,30,П3,42,Выдано покупателю
425,12.8.2021,32,П2,36,Поступило с производства
426,12.8.2021,34,П8,20,Поступило с производства
427,12.8.2021,35,П12,20,Поступило с производства
428,12.8.2021,38,П12,14,Выдано покупателю
429,12.8.2021,38,П2,20,Выдано покупателю
430,12.8.2021,39,П6,5,Выдано покупателю
431,12.8.2021,39,П7,33,Выдано покупателю
432,12.8.2021,47,П1,48,Поступило с производства
433,12.8.2021,50,П10,29,Поступило с производства
434,12.8.2021,50,П8,25,Поступило с производства
435,12.8.2021,51,П16,38,Выдано покупателю
436,12.8.2021,53,П11,34,Поступило с производства
437,12.8.2021,53,П8,17,Поступило с производства
438,12.8.2021,54,П5,6,Выдано покупателю
439,12.8.2021,56,П7,38,Поступило с производства
440,12.8.2021,58,П15,20,Поступило с производства
441,12.8.2021,60,П11,46,Поступило с производства
442,12.8.2021,62,П16,37,Поступило с производства
443,12.8.2021,62,П4,45,Поступило с производства
444,12.8.2021,63,П10,39,Выдано покупателю
445,12.8.2021,64,П11,22,Выдано покупателю
446,13.8.2021,1,П11,16,Поступило с производства
447,13.8.2021,7,П11,15,Поступило с производства
448,13.8.2021,7,П14,14,Поступило с производства
449,13.8.2021,8,П12,12,Поступило с производства
450,13.8.2021,9,П15,10,Поступило с производства
451,13.8.2021,10,П1,7,Выдано покупателю
452,13.8.2021,11,П1,41,Поступило с производства
453,13.8.2021,12,П8,5,Поступило с производства
454,13.8.2021,14,П12,36,Выдано покупателю
455,13.8.2021,15,П10,43,Поступило с производства
456,13.8.2021,21,П2,40,Выдано покупателю
457,13.8.2021,21,П4,19,Выдано покупателю
458,13.8.2021,22,П1,7,Выдано покупателю
459,13.8.2021,22,П7,44,Выдано покупателю
460,13.8.2021,24,П1,9,Выдано покупателю
461,13.8.2021,24,П2,31,Поступило с производства
462,13.8.2021,26,П8,26,Выдано покупателю
463,13.8.2021,27,П10,31,Поступило с производства
464,13.8.2021,27,П10,38,Выдано покупателю
465,13.8.2021,28,П7,9,Выдано покупателю
466,13.8.2021,29,П3,34,Выдано покупателю
467,13.8.2021,30,П2,40,Выдано покупателю
468,13.8.2021,30,П8,45,Поступило с производства
469,13.8.2021,31,П1,44,Поступило с производства
470,13.8.2021,36,П9,17,Выдано покупателю
471,13.8.2021,40,П12,37,Выдано покупателю
472,13.8.2021,44,П14,49,Поступило с производства
473,13.8.2021,45,П12,38,Поступило с производства
474,13.8.2021,46,П3,44,Поступило с производства
475,13.8.2021,49,П1,9,Выдано покупателю
476,13.8.2021,50,П2,8,Выдано покупателю
477,13.8.2021,50,П5,23,Выдано покупателю
478,13.8.2021,52,П15,32,Выдано покупателю
479,13.8.2021,52,П16,9,Выдано покупателю
480,13.8.2021,62,П11,5,Выдано покупателю
481,13.8.2021,63,П15,41,Поступило с производства
482,13.8.2021,64,П15,38,Поступило с производства
483,14.8.2021,6,П15,11,Поступило с производства
484,14.8.2021,8,П13,31,Поступило с производства
485,14.8.2021,8,П16,19,Выдано покупателю
486,14.8.2021,8,П7,50,Поступило с производства
487,14.8.2021,11,П15,12,Выдано покупателю
488,14.8.2021,13,П7,50,Поступило с производства
489,14.8.2021,14,П12,9,Поступило с производства
490,14.8.2021,14,П12,30,Выдано покупателю
491,14.8.2021,14,П13,20,Поступило с производства
492,14.8.2021,17,П11,37,Выдано покупателю
493,14.8.2021,20,П10,46,Выдано покупателю
494,14.8.2021,23,П13,19,Поступило с производства
495,14.8.2021,23,П14,21,Выдано покупателю
496,14.8.2021,27,П1,34,Поступило с производства
497,14.8.2021,27,П13,8,Поступило с производства
498,14.8.2021,27,П8,41,Поступило с производства
499,14.8.2021,30,П2,37,Поступило с производства
500,14.8.2021,31,П11,18,Выдано покупателю
501,14.8.2021,31,П14,16,Поступило с производства
502,14.8.2021,34,П11,38,Поступило с производства
503,14.8.2021,35,П7,15,Выдано покупателю
504,14.8.2021,36,П3,6,Выдано покупателю
505,14.8.2021,38,П14,16,Поступило с производства
506,14.8.2021,38,П9,44,Поступило с производства
507,14.8.2021,43,П1,49,Поступило с производства
508,14.8.2021,44,П12,21,Поступило с производства
509,14.8.2021,47,П8,39,Поступило с производства
510,14.8.2021,48,П3,42,Поступило с производства
511,14.8.2021,53,П4,33,Поступило с производства
512,14.8.2021,57,П12,26,Поступило с производства
513,14.8.2021,58,П14,15,Выдано покупателю
514,14.8.2021,58,П2,31,Поступило с производства
515,14.8.2021,58,П2,13,Поступило с производства
516,14.8.2021,60,П10,22,Поступило с производства
517,14.8.2021,61,П4,32,Поступило с производства
518,14.8.2021,62,П1,42,Поступило с производства
519,15.8.2021,1,П15,19,Поступило с производства
520,15.8.2021,2,П13,6,Выдано покупателю
521,15.8.2021,6,П15,46,Поступило с производства
522,15.8.2021,8,П15,34,Выдано покупателю
523,15.8.2021,8,П15,18,Выдано покупателю
524,15.8.2021,8,П7,29,Выдано покупателю
525,15.8.2021,9,П14,23,Поступило с производства
526,15.8.2021,9,П2,26,Выдано покупателю
527,15.8.2021,10,П16,12,Поступило с производства
528,15.8.2021,10,П7,35,Выдано покупателю
529,15.8.2021,13,П12,26,Поступило с производства
530,15.8.2021,13,П2,14,Выдано покупателю
531,15.8.2021,17,П15,17,Выдано покупателю
532,15.8.2021,18,П3,35,Выдано покупателю
533,15.8.2021,19,П3,23,Поступило с производства
534,15.8.2021,19,П7,49,Поступило с производства
535,15.8.2021,20,П4,37,Поступило с производства
536,15.8.2021,22,П12,12,Поступило с производства
537,15.8.2021,24,П12,32,Выдано покупателю
538,15.8.2021,26,П13,32,Выдано покупателю
539,15.8.2021,27,П10,41,Поступило с производства
540,15.8.2021,27,П2,38,Поступило с производства
541,15.8.2021,29,П1,37,Поступило с производства
542,15.8.2021,29,П14,28,Поступило с производства
543,15.8.2021,32,П8,23,Выдано покупателю
544,15.8.2021,35,П9,50,Поступило с производства
545,15.8.2021,40,П2,16,Выдано покупателю
546,15.8.2021,40,П7,30,Поступило с производства
547,15.8.2021,45,П9,16,Поступило с производства
548,15.8.2021,48,П14,14,Поступило с производства
549,15.8.2021,50,П2,33,Выдано покупателю
550,15.8.2021,55,П1,34,Выдано покупателю
551,15.8.2021,55,П13,32,Поступило с производства
552,15.8.2021,57,П1,36,Выдано покупателю
553,15.8.2021,60,П12,39,Поступило с производства
554,15.8.2021,62,П11,6,Поступило с производства
555,15.8.2021,63,П9,7,Поступило с производства
556,15.8.2021,64,П3,22,Поступило с производства
557,16.8.2021,2,П9,26,Поступило с производства
558,16.8.2021,3,П16,11,Поступило с производства
559,16.8.2021,7,П2,49,Выдано покупателю
560,16.8.2021,13,П2,45,Поступило с производства
561,16.8.2021,13,П2,47,Выдано покупателю
562,16.8.2021,13,П5,8,Поступило с производства
563,16.8.2021,14,П6,49,Поступило с производства
564,16.8.2021,15,П15,31,Выдано покупателю
565,16.8.2021,19,П12,20,Поступило с производства
566,16.8.2021,24,П8,37,Поступило с производства
567,16.8.2021,26,П1,21,Поступило с производства
568,16.8.2021,28,П6,38,Выдано покупателю
569,16.8.2021,32,П5,8,Поступило с производства
